SiteID,SpecCode,d13C,d15N,CN,TL_mm,trophic,SpecCode.new,d13C.tdf,d15N.tdf
Greenbelt,Baetidae,-29.7,9.8,5.1,NA,Invertebrate,Baetidae,-29.7,9.8
Greenbelt,Baetidae,-30.9,8.9,5.1,NA,Invertebrate,Baetidae,-30.9,8.9
Greenbelt,Baetidae,-30.5,9.4,5.1,NA,Invertebrate,Baetidae,-30.5,9.4
Greenbelt,BMN,-27.6,12,3.4,44,Fish,Minnow,-27.6,12
Greenbelt,BMN,-30.2,11.6,3.4,45,Fish,Minnow,-30.2,11.6
Greenbelt,BMN,-27.2,11.8,3.6,NA,Fish,Minnow,-27.2,11.8
Greenbelt,BMN,-27.1,11.8,3.5,NA,Fish,Minnow,-27.1,11.8
Greenbelt,BMN,-27.7,12.4,3.5,NA,Fish,Minnow,-27.7,12.4
Greenbelt,BMN,-27.2,12.3,3.5,NA,Fish,Minnow,-27.2,12.3
Greenbelt,BMN,-29.7,11.9,3.4,NA,Fish,Minnow,-29.7,11.9
Greenbelt,BMN,-28.1,12.6,3.5,NA,Fish,Minnow,-28.1,12.6
Greenbelt,BMN,-28.2,12.7,3.5,NA,Fish,Minnow,-28.2,12.7
Greenbelt,BMN,-26.2,12.4,3.5,NA,Fish,Minnow,-26.2,12.4
Greenbelt,BMN,-26.4,11.9,3.5,NA,Fish,Minnow,-26.4,11.9
Greenbelt,BMN,-29.9,12.1,3.5,NA,Fish,Minnow,-29.9,12.1
Greenbelt,BNT,-25.4,13,3.2,310,Fish,BNT,-26.9,9.5
Greenbelt,BNT,-25,13.6,3.3,313,Fish,BNT,-26.5,10.1
Greenbelt,BNT,-25.4,12.1,3.2,356,Fish,BNT,-26.9,8.6
Greenbelt,BNT,-25.1,12.6,3.1,413,Fish,BNT,-26.6,9.1
Greenbelt,BNT,-26.1,12.3,3.3,216,Fish,BNT,-27.6,8.8
Greenbelt,BNT,-25.5,13.4,3.2,304,Fish,BNT,-27,9.9
Greenbelt,BNT,-26.3,12.7,3.4,220,Fish,BNT,-27.8,9.2
Greenbelt,BNT,-26.4,12.7,3.4,220,Fish,BNT,-27.9,9.2
Greenbelt,BNT,-26.1,12.9,3.4,250,Fish,BNT,-27.6,9.4
Greenbelt,BNT,-25.9,13,3.2,330,Fish,BNT,-27.4,9.5
Greenbelt,BNT,-24.8,13.6,3.3,274,Fish,BNT,-26.3,10.1
Greenbelt,BNT,-25.5,13.3,3.3,275,Fish,BNT,-27,9.8
Greenbelt,BNT,-25.7,11.6,3.2,289,Fish,BNT,-27.2,8.1
Greenbelt,BNT,-25.5,12.2,3.3,219,Fish,BNT,-27,8.7
Greenbelt,BNT,-25.3,12.7,3.3,203,Fish,BNT,-26.8,9.2
Greenbelt,BNT,-25,13.3,3.3,270,Fish,BNT,-26.5,9.8
Greenbelt,BNT,-25.3,14.1,3.3,340,Fish,BNT,-26.8,10.6
Greenbelt,BNT,-25.3,13.5,3.1,340,Fish,BNT,-26.8,10
Greenbelt,BNT,-25.2,14.3,3.2,345,Fish,BNT,-26.7,10.8
Greenbelt,BNT,-26.1,12.7,3.4,254,Fish,BNT,-27.6,9.2
Greenbelt,BNT,-25.1,12.9,3.1,390,Fish,BNT,-26.6,9.4
Greenbelt,BNT,-26,11.9,3.1,433,Fish,BNT,-27.5,8.4
Greenbelt,BNT,-25.3,12.1,3.3,235,Fish,BNT,-26.8,8.6
Greenbelt,BNT,-25.6,12.7,3.3,240,Fish,BNT,-27.1,9.2
Greenbelt,BNT,-25.7,12.4,3.3,225,Fish,BNT,-27.2,8.9
Greenbelt,BNT,-25.5,13.3,3.2,280,Fish,BNT,-27,9.8
Greenbelt,BNT,-25.9,13.3,3.3,280,Fish,BNT,-27.4,9.8
Greenbelt,BNT,-25.7,14,3.3,279,Fish,BNT,-27.2,10.5
Greenbelt,BNT,-25.5,14.1,3.3,279,Fish,BNT,-27,10.6
Greenbelt,BNT,-25.3,12.7,3.3,283,Fish,BNT,-26.8,9.2
Greenbelt,BNT,-25.5,12.3,3.1,269,Fish,BNT,-27,8.8
Greenbelt,BNT,-25.8,12.4,3.1,310,Fish,BNT,-27.3,8.9
Greenbelt,BNT,-25.2,13.9,3.2,298,Fish,BNT,-26.7,10.4
Greenbelt,BNT,-25.3,12.9,3.4,235,Fish,BNT,-26.8,9.4
Greenbelt,Decapoda,-25.3,8.5,3.3,NA,Invertebrate,Decapoda,-25.3,8.5
Greenbelt,Decapoda,-25.5,9,4.3,NA,Invertebrate,Decapoda,-25.5,9
Greenbelt,Decapoda,-26.6,8.7,4.2,NA,Invertebrate,Decapoda,-26.6,8.7
Greenbelt,Decapoda,-25.9,9.2,4.4,NA,Invertebrate,Decapoda,-25.9,9.2
Greenbelt,Decapoda,-26.6,8.9,4.4,NA,Invertebrate,Decapoda,-26.6,8.9
Greenbelt,Decapoda,-26.3,9.3,4.4,NA,Invertebrate,Decapoda,-26.3,9.3
Greenbelt,FHM,-29.5,10.6,3.3,67,Fish,Minnow,-29.5,10.6
Greenbelt,FHM,-27.8,12.4,3.4,80,Fish,Minnow,-27.8,12.4
Greenbelt,FHM,-28.4,11.1,3.4,60,Fish,Minnow,-28.4,11.1
Greenbelt,FHM,-27.4,12,3.4,NA,Fish,Minnow,-27.4,12
Greenbelt,FHM,-27.8,11.6,3.5,NA,Fish,Minnow,-27.8,11.6
Greenbelt,FHM,-28.2,12.1,3.5,NA,Fish,Minnow,-28.2,12.1
Greenbelt,FHM,-28.9,11.1,3.4,NA,Fish,Minnow,-28.9,11.1
Greenbelt,FHM,-26.9,12,3.4,NA,Fish,Minnow,-26.9,12
Greenbelt,FHM,-27.4,11.7,3.4,NA,Fish,Minnow,-27.4,11.7
Greenbelt,FHM,-26.4,12.5,3.5,NA,Fish,Minnow,-26.4,12.5
Greenbelt,FHM,-29.7,10.8,3.5,NA,Fish,Minnow,-29.7,10.8
Greenbelt,FHM,-28.2,12.5,3.3,NA,Fish,Minnow,-28.2,12.5
Greenbelt,FHM,-27.6,12.2,3.5,NA,Fish,Minnow,-27.6,12.2
Greenbelt,Hydropsychidae,-29.7,8.8,4.6,NA,Invertebrate,Hydropsychidae,-29.7,8.8
Greenbelt,Hydropsychidae,-29.3,7.8,4.6,NA,Invertebrate,Hydropsychidae,-29.3,7.8
Greenbelt,Hydropsychidae,-28.4,8,4.6,NA,Invertebrate,Hydropsychidae,-28.4,8
Greenbelt,Hydropsychidae,-28.7,8.4,4.6,NA,Invertebrate,Hydropsychidae,-28.7,8.4
Greenbelt,Isopoda,-27.9,6,4.8,NA,Invertebrate,Isopoda,-27.9,6
Greenbelt,Isopoda,-27.6,5.5,4.8,NA,Invertebrate,Isopoda,-27.6,5.5
Greenbelt,Isopoda,-27.4,5.8,4.8,NA,Invertebrate,Isopoda,-27.4,5.8
Greenbelt,Isopoda,-27.1,6.8,4.4,NA,Invertebrate,Isopoda,-27.1,6.8
LR05,BNT,-26.7272112,11.921267,3.305035214,211,Fish,BNT,-28.2272112,8.421267
LR05,BNT,-26.6462884,11.902247,3.393668196,428,Fish,BNT,-28.1462884,8.402247